"metric_title","unit","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03"
"Subscriber Roll-forward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beginning Subscribers","count","0","1","4","4","8","8","9","12","14","15","19","21","22","26","29","33","38","45","48","51","51","53","50","52","54","64","73","93","105","107","111","119","121","124","127","132","142","148","158","168","172","174","179","182","181","187","189","192","198"
"New Subscribers","count","1","3","0","4","0","1","3","3","1","5","2","4","5","6","4","6","8","3","3","4","7","3","2","3","12","11","18","18","6","9","11","9","7","8","6","13","12","17","12","7","5","10","7","9","10","6","8","8","0"
"Reactivated Subscribers","count","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","2","0","2","1","15","5","2","0","2","0","1","4","2","1","5","1","2","4","3","2","2","5","1","2","1","2","0"
"Churned Subscribers","count","0","0","0","0","0","0","0","1","0","1","2","3","1","3","0","1","1","1","0","4","6","6","2","1","4","3","13","11","6","5","5","7","5","9","3","4","11","8","4","7","6","7","6","15","5","6","6","4","0"
"Ending Subscribers","count","1","4","4","8","8","9","12","14","15","19","21","22","26","29","33","38","45","48","51","51","53","50","52","54","64","73","93","105","107","111","119","121","124","127","132","142","148","158","168","172","174","179","182","181","187","189","192","198","198"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Retention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revenue churn rate","percent","0.00","0.00","0.00","0.00","0.00","6.82","0.00","3.92","0.00","15.00","6.76","13.95","9.89","34.02","0.00","12.71","4.62","2.38","0.00","9.42","19.23","24.32","2.82","2.66","9.74","14.75","24.30","21.39","3.86","2.85","4.58","3.04","4.57","9.85","2.86","6.11","9.57","7.01","3.30","3.44","1.59","5.69","5.58","8.14","1.37","3.04","3.83","8.52","7.59"
"Net Revenue churn rate","percent","0.00","0.00","0.00","-14.29","0.00","0.00","0.00","3.92","0.00","15.00","6.76","8.14","7.69","34.02","-4.90","-4.24","0.77","2.38","0.00","8.38","19.23","23.24","2.82","-0.53","6.67","3.69","21.72","16.77","2.83","2.35","1.58","2.02","4.19","7.03","-0.04","1.25","8.98","-4.97","-6.88","0.78","0.77","1.44","0.46","5.73","0.21","-0.21","0.77","-11.60","-11.09"
"Subscriber churn rate","percent","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.67","0.00","5.00","8.70","12.00","3.70","9.38","0.00","2.56","2.17","2.04","0.00","7.27","10.17","10.71","3.70","1.82","5.88","3.95","12.26","9.48","4.46","4.31","4.03","4.72","3.88","6.62","2.22","2.74","6.33","4.82","2.33","3.91","3.33","3.76","3.19","7.65","2.60","3.08","3.03","2.46","1.98"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Customer Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average Revenue per Subscriber","cad","90.00","78.75","78.75","82.50","82.50","71.67","63.75","61.07","60.00","56.84","61.43","62.05","55.96","52.76","53.64","51.32","56.00","55.00","53.82","53.53","52.36","53.10","54.23","53.61","55.90","53.48","73.31","83.34","82.86","82.55","91.59","96.93","97.86","99.59","104.50","101.37","102.31","111.14","117.15","117.23","120.80","121.71","122.18","123.75","123.27","124.82","125.21","132.07","132.07"
"Subscriber Lifetime Value","cad","5400.00","4725.00","4725.00","4950.00","4950.00","4300.20","3825.00","915.59","3600.00","1136.80","706.09","517.08","1512.43","562.47","3218.40","2004.69","2580.65","2696.08","3229.20","736.31","514.85","495.80","1465.68","2945.60","950.68","1353.92","597.96","879.11","1857.85","1915.31","2272.70","2053.60","2522.16","1504.38","4707.21","3699.64","1616.27","2305.81","5027.90","2998.21","3627.63","3236.97","3830.09","1617.65","4741.15","4052.60","4132.34","5368.70","6670.20"
"Average Subscriber Lifetime","years","0","0","0","0","0","0","0","1.25","0","1.67","0.96","0.69","2.25","0.89","0","3.26","3.84","4.08","0","1.15","0.82","0.78","2.25","4.58","1.42","2.11","0.68","0.88","1.87","1.93","2.07","1.77","2.15","1.26","3.75","3.04","1.32","1.73","3.58","2.13","2.50","2.22","2.61","1.09","3.21","2.71","2.75","3.39","4.21"
